source	stratum	stratum_label	model_id	model_label	group_type	removed_group_id	removed_n	removed_fraction	effective_groups	full_n	reduced_n	full_spearman	reduced_spearman	spearman_shift	full_delta_mae	reduced_delta_mae	delta_mae_shift	full_coverage_90	reduced_coverage_90
BioLiP/MOAD	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	57	0.195876288659794	20.9866171003718	291	234	0.464082935929957	0.340757385013373	-0.123325550916584	-0.177363112010924	-0.045942484685705	0.131420627325219		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_protein	HGB protein only	document_component	db_14239233b7994ab8	14	0.0481099656357388	47.9779036827195	291	277	0.409689749246288	0.342971521149675	-0.0667182280966133	-0.250987488767101	-0.217617993865034	0.0333694949020663		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_protein	HGB protein only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_c8065dce43d773eb	51	0.175257731958763	11.3925736580116	291	240	0.409689749246288	0.506889276305631	0.0971995270593427	-0.250987488767101	-0.365118302864528	-0.114130814097427		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_protein	HGB protein only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	57	0.195876288659794	20.9866171003718	291	234	0.409689749246288	0.315495858568308	-0.0941938906779802	-0.250987488767101	-0.170727255832954	0.0802602329341463		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	document_component	db_14239233b7994ab8	14	0.0481099656357388	47.9779036827195	291	277	0.564616838998667	0.517645022224887	-0.0469718167737799	-0.384029639136458	-0.348639167941295	0.0353904711951635		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_c8065dce43d773eb	51	0.175257731958763	11.3925736580116	291	240	0.564616838998667	0.670911007182098	0.106294168183431	-0.384029639136458	-0.448838201551891	-0.064808562415433		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	57	0.195876288659794	20.9866171003718	291	234	0.564616838998667	0.517248840302466	-0.0473679986962011	-0.384029639136458	-0.300090010105006	0.0839396290314526		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_interaction	HGB interaction fusion	document_component	db_14239233b7994ab8	14	0.0481099656357388	47.9779036827195	291	277	0.526134332152421	0.468384677738032	-0.0577496544143889	-0.356883843180418	-0.306466971712444	0.0504168714679739		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_interaction	HGB interaction fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_c8065dce43d773eb	51	0.175257731958763	11.3925736580116	291	240	0.526134332152421	0.63304353368164	0.106909201529219	-0.356883843180418	-0.416007484205306	-0.0591236410248882		
BioLiP/MOAD	drug_cold	Ligand cold	hgb_fusion_interaction	HGB interaction fusion	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	57	0.195876288659794	20.9866171003718	291	234	0.526134332152421	0.473758157550996	-0.0523761746014251	-0.356883843180418	-0.299835272638115	0.057048570542303		
BioLiP/MOAD	drug_cold	Ligand cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	document_component	db_14239233b7994ab8	14	0.0481099656357388	47.9779036827195	291	277	0.617551221027469	0.577588937600645	-0.0399622834268237	-0.467398811830336	-0.410049590609612	0.0573492212207246	0.673539518900344	0.682310469314079
BioLiP/MOAD	drug_cold	Ligand cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_c8065dce43d773eb	51	0.175257731958763	11.3925736580116	291	240	0.617551221027469	0.714242600753562	0.0966913797260938	-0.467398811830336	-0.561261996406324	-0.0938631845759881	0.673539518900344	0.679166666666667
BioLiP/MOAD	drug_cold	Ligand cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	57	0.195876288659794	20.9866171003718	291	234	0.617551221027469	0.573531033474058	-0.0440201875534104	-0.467398811830336	-0.406731516866271	0.0606672949640652	0.673539518900344	0.688034188034188
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_molecule	HGB ligand only	document_component	db_e91df234ec6d3f2d	18	0.0493150684931507	88.8759172781857	365	347	0.237108655164313	0.221542184017261	-0.0155664711470516	-0.529444285859495	-0.505969045926795	0.0234752399327004		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_molecule	HGB ligand only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_a8d79a46ca8d7b92	21	0.0575342465753425	52.2655943507258	365	344	0.237108655164313	0.198954835610802	-0.0381538195535115	-0.529444285859495	-0.455773553450626	0.0736707324088699		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_molecule	HGB ligand only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	138	0.378082191780822	6.14308110849817	365	227	0.237108655164313	0.240114922049241	0.00300626688492764	-0.529444285859495	-0.508865241876902	0.0205790439825931		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_protein	HGB protein only	document_component	db_e91df234ec6d3f2d	18	0.0493150684931507	88.8759172781857	365	347	0.081562531585904	0.0771483456582598	-0.00441418592764418	-0.0226245365161522	-0.0108881379769782	0.011736398539174		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_protein	HGB protein only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_a8d79a46ca8d7b92	21	0.0575342465753425	52.2655943507258	365	344	0.081562531585904	0.0826341014253404	0.00107156983943643	-0.0226245365161522	-0.0189356284215645	0.00368890809458773		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_protein	HGB protein only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	138	0.378082191780822	6.14308110849817	365	227	0.081562531585904	0.14505588899541	0.0634933574095062	-0.0226245365161522	-0.0502778304932168	-0.0276532939770646		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_additive	HGB additive fusion	document_component	db_e91df234ec6d3f2d	18	0.0493150684931507	88.8759172781857	365	347	0.2454868510628	0.243412654982075	-0.00207419608072518	-0.435473034973329	-0.410104824505902	0.0253682104674269		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_additive	HGB additive fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_a8d79a46ca8d7b92	21	0.0575342465753425	52.2655943507258	365	344	0.2454868510628	0.216196672193407	-0.0292901788693924	-0.435473034973329	-0.371499289038798	0.0639737459345317		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_additive	HGB additive fusion	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	138	0.378082191780822	6.14308110849817	365	227	0.2454868510628	0.234285000676287	-0.011201850386513	-0.435473034973329	-0.416303254318507	0.0191697806548222		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_interaction	HGB interaction fusion	document_component	db_e91df234ec6d3f2d	18	0.0493150684931507	88.8759172781857	365	347	0.291163885271159	0.297543177861351	0.00637929259019276	-0.436356992339567	-0.417552376856894	0.0188046154826736		
BioLiP/MOAD	protein_identity_cold	Target cold	hgb_fusion_interaction	HGB interaction fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_a8d79a46ca8d7b92	21	0.0575342465753425	52.2655943507258	365	344	0.291163885271159	0.270384467347041	-0.0207794179241172	-0.436356992339567	-0.379079501460237	0.0572774908793301		
