source	model_id	model_label	estimate	bootstrap_se	percentile_ci95_low	percentile_ci95_high	simultaneous_ci95_low	simultaneous_ci95_high	simultaneous_max_t_quantile	replicates	bootstrap_unit	familywise_scope
BioLiP/MOAD	hgb_molecule	HGB ligand only	0.439831421969678	0.0375723347087073	0.362313001210175	0.510501776024806	0.348342177312085	0.53132066662727	2.43501622581867	1000	connected_document_component	five_nonreference_specifications_within_source
BioLiP/MOAD	hgb_protein	HGB protein only	0.231366781895666	0.0599604315704625	0.109329892014139	0.349873100399819	0.0853621581144993	0.377371405676832	2.43501622581867	1000	connected_document_component	five_nonreference_specifications_within_source
BioLiP/MOAD	hgb_fusion_additive	HGB additive fusion	0.434844253869656	0.0465245448148741	0.337723302004103	0.521924901810248	0.32155623234661	0.548132275392703	2.43501622581867	1000	connected_document_component	five_nonreference_specifications_within_source
BioLiP/MOAD	hgb_fusion_interaction	HGB interaction fusion	0.436091393961135	0.0449372800388914	0.346517529745588	0.521895020875122	0.326668387922277	0.545514399999993	2.43501622581867	1000	connected_document_component	five_nonreference_specifications_within_source
BioLiP/MOAD	phase15_esm2_aft_frozen	Frozen ESM2-AFT	0.426827729233303	0.0493912537377243	0.328296304271646	0.522953792059351	0.306559224968418	0.547096233498189	2.43501622581867	1000	connected_document_component	five_nonreference_specifications_within_source
ChEMBL37	hgb_molecule	HGB ligand only	0.156695585188567	0.0540581238345464	0.0740049522159501	0.282894305187117	0.0303672281122979	0.283023942264835	2.33689865861636	1000	connected_document_component	five_nonreference_specifications_within_source
ChEMBL37	hgb_protein	HGB protein only	0.118251360719027	0.0332599696575609	0.0638234438298709	0.190911915495451	0.0405261822406524	0.195976539197402	2.33689865861636	1000	connected_document_component	five_nonreference_specifications_within_source
ChEMBL37	hgb_fusion_additive	HGB additive fusion	0.215231424845831	0.0433355862991677	0.143319101668905	0.306231547734849	0.113960551352953	0.31650229833871	2.33689865861636	1000	connected_document_component	five_nonreference_specifications_within_source
ChEMBL37	hgb_fusion_interaction	HGB interaction fusion	0.206229166135601	0.0486404457536166	0.126259562583032	0.308325722123532	0.0925613736994721	0.31989695857173	2.33689865861636	1000	connected_document_component	five_nonreference_specifications_within_source
ChEMBL37	phase15_esm2_aft_frozen	Frozen ESM2-AFT	0.205985660203321	0.0473149664990734	0.128025065871841	0.30426324342549	0.0954153784591585	0.316555941947484	2.33689865861636	1000	connected_document_component	five_nonreference_specifications_within_source
