source	stratum	n	global_median_mae	exact_molecule_prior_mae	exact_protein_prior_mae	protein_cluster_prior_mae	combined_entity_prior_mae	exact_molecule_prior_coverage	exact_protein_prior_coverage	protein_cluster_prior_coverage	note
ChEMBL37	overall	25436	1.17023928282426	1.18007133566499	1.19756802568699	1.24441564066844	1.25109478309238	0.0114797924201919	0.151871363421922	0.273785186350055	Exploratory development-only priors; unavailable entities fall back to the frozen global median
ChEMBL37	drug_cold	7378	1.25718625973886	1.25718625973886	1.34126553738884	1.48414438546867	1.48414438546867	0	0.511249661154785	0.895364597451884	Exploratory development-only priors; unavailable entities fall back to the frozen global median
ChEMBL37	protein_identity_cold	1802	1.06373148092784	1.14813903310736	1.06373148092784	1.06373148092784	1.14813903310736	0.0943396226415094	0	0	Exploratory development-only priors; unavailable entities fall back to the frozen global median
ChEMBL37	strict_scaffold_protein_identity_double_cold	15760	1.15523640971854	1.15523640971854	1.15523640971854	1.15523640971854	1.15523640971854	0	0	0	Exploratory development-only priors; unavailable entities fall back to the frozen global median
BioLiP/MOAD	overall	1382	1.67295565914714	1.66264712827421	1.67295565914714	1.5754595988404	1.5670437169946	0.0166425470332851	0	0.222141823444284	Exploratory development-only priors; unavailable entities fall back to the frozen global median
BioLiP/MOAD	drug_cold	291	1.6827405966001	1.6827405966001	1.6827405966001	1.27629151549981	1.27629151549981	0	0	0.982817869415807	Exploratory development-only priors; unavailable entities fall back to the frozen global median
BioLiP/MOAD	protein_identity_cold	365	1.76554946768767	1.76348469985681	1.76554946768767	1.76554946768767	1.76348469985681	0.0356164383561644	0	0	Exploratory development-only priors; unavailable entities fall back to the frozen global median
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	704	1.58951747311748	1.58951747311748	1.58951747311748	1.58951747311748	1.58951747311748	0	0	0	Exploratory development-only priors; unavailable entities fall back to the frozen global median
