source	n	unique_ligands	unique_scaffolds	unique_proteins	protein_identity_clusters	document_components	assay_clusters	repeated_ligand_row_fraction	repeated_protein_row_fraction	repeated_document_row_fraction	largest_document_component_n	largest_document_component_fraction	effective_document_components	outcome_mean	outcome_sd	outcome_min	outcome_max	outcomes_below_2	outcomes_above_12	multi_measurement_fraction	nonzero_label_range_fraction	exact_pair_cross_source_overlap	analytic_role	rights_status
ChEMBL37	25436	12027	6859	3284	2581	2275	8068	0.622700110080201	0.949874194055669	0.969649315930178	5645	0.221929548671175	14.9640520960512	6.53343142329068	1.41623491630211	2	11	0	0	0.149984274256959	0.141571001729832	0	Document- and pair-disjoint external source plus retrospective specification analysis	Public database identifiers and row-level prediction release permitted subject to source terms
BioLiP/MOAD	1382	844	477	926	326	514	1001	0.607091172214182	0.442112879884226	0.833574529667149	42	0.0303907380607815	198.248287315756	5.29141334444496	1.81403742651481	0.0457574905606751	13.1135092748275	18	2	0.313314037626628	0.00434153400868307	0	Restricted one-time blind source plus retrospective specification analysis	Row-level source restricted; aggregate release only
