external_cold_category	category	outcome	inference_scheme	cluster_variables	n	estimate	standard_error	ci95_lower	ci95_upper	scaffold_clusters	protein_clusters	primary_documents	document_components
protein_identity_cold	Target cold	mean_bias	Primary document	primary_document_id	1802	0.50741938294991	0.180678958183419	0.153288624910407	0.861550140989412	146	340	290	251
protein_identity_cold	Target cold	calibration_slope	Primary document	primary_document_id	1802	0.367650291711297	0.156909259680367	0.0601081427377785	0.675192440684816	146	340	290	251
protein_identity_cold	Target cold	delta_mae	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	1802	0.180900795638708	0.155431363047221	-0.123744675933844	0.485546267211261	146	340	290	251
protein_identity_cold	Target cold	coverage_90	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	1802	0.639289678135397	0.0249940777946765	0.590301285657831	0.688278070612963	146	340	290	251
protein_identity_cold	Target cold	mean_bias	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	1802	0.50741938294991	0.193214360158667	0.128719237038922	0.886119528860897	146	340	290	251
protein_identity_cold	Target cold	calibration_slope	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	1802	0.367650291711297	0.160553162418835	0.0529660933703803	0.682334490052214	146	340	290	251
protein_identity_cold	Target cold	delta_mae	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	1802	0.180900795638708	0.147124046445402	-0.10746233539428	0.469263926671696	146	340	290	251
protein_identity_cold	Target cold	coverage_90	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	1802	0.639289678135397	0.0294033002880729	0.581659209570774	0.69692014670002	146	340	290	251
protein_identity_cold	Target cold	mean_bias	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	1802	0.50741938294991	0.165845057270971	0.182363070698806	0.832475695201013	146	340	290	251
protein_identity_cold	Target cold	calibration_slope	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	1802	0.367650291711297	0.163680458289204	0.046836593464458	0.688463989958137	146	340	290	251
seen_molecule_and_protein_cluster_new_pair	New relation	delta_mae	Pair-level HC1	none	496	0.33274219903969	0.0415488702245034	0.251306413399663	0.414177984679716	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	coverage_90	Pair-level HC1	none	496	0.721774193548382	0.020141730492293	0.682296401783488	0.761251985313276	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	mean_bias	Pair-level HC1	none	496	0.763016262556413	0.0492048530484915	0.666574750581369	0.859457774531456	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	calibration_slope	Pair-level HC1	none	496	0.237096187771653	0.0657268159344423	0.108271628540146	0.36592074700316	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	delta_mae	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	496	0.33274219903969	0.0845289517290148	0.167065453650821	0.498418944428559	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	coverage_90	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	496	0.721774193548382	0.0334720107798816	0.656169052419814	0.78737933467695	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	mean_bias	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	496	0.763016262556413	0.11625011290466	0.535166041263279	0.990866483849546	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	calibration_slope	Scaffold + protein	frozen_scaffold_id + protein_identity_cluster_id	496	0.237096187771653	0.108830894777521	0.0237876340077126	0.450404741535593	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	delta_mae	Primary document	primary_document_id	496	0.33274219903969	0.0631558853043387	0.208956663843186	0.456527734236194	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	coverage_90	Primary document	primary_document_id	496	0.721774193548382	0.00637889738189188	0.709271554679874	0.73427683241689	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	mean_bias	Primary document	primary_document_id	496	0.763016262556413	0.140610647873873	0.487419392723623	1.0386131323892	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	calibration_slope	Primary document	primary_document_id	496	0.237096187771653	0.0736362929793634	0.0927690535321005	0.381423322011205	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	delta_mae	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	496	0.33274219903969	0.068063919250097	0.1993369173095	0.46614748076988	72	47	37	31
seen_molecule_and_protein_cluster_new_pair	New relation	coverage_90	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	496	0.721774193548382	0.00694045796799733	0.708170895931107	0.735377491165657	72	47	37	31
