ligand_novelty_bin	protein_novelty_bin	n	mae	baseline_mae	delta_mae	spearman	coverage_90	mean_bias	empirical_q90_half_width
L3	P1	1679	1.28566361157898	1.31101633007601	-0.025352718497026	0.296963853199612	0.640262060750447	-0.229112318057301	2.63259537529339
L2	P1	1604	1.21453155598923	1.29355468824428	-0.0790231322550532	0.257830013437925	0.666458852867831	-0.103258690932971	2.62774905122305
L4	P2	1805	1.19085115366823	1.23115408957936	-0.0403029359111283	0.152809761810338	0.667036011080332	0.197222082554188	2.3717300506892
L1	P3	2062	1.21414823164122	0.971042821875633	0.243105409765582	0.0924895656879455	0.653249272550922	0.564988520880665	2.36030118536617
L3	P3	1500	1.20157052962454	1.13670562605371	0.0648649035708329	0.237556512654748	0.649333333333333	0.328271510048548	2.37879523308917
L1	P2	1448	1.19817532247506	1.03188951044946	0.166285812025595	0.124068708053146	0.649171270718232	0.512206444362903	2.31708502374063
L4	P1	1708	1.29398578863804	1.33126772372317	-0.0372819350851268	0.283704376875357	0.636416861826698	-0.302617375210519	2.58940519053001
L3	P4	1469	1.21366583871913	1.17005629471027	0.0436095440088669	0.127236306019705	0.662355343771273	-0.140168483602458	2.58786115476005
L1	P4	2229	1.17580545266783	1.07718223284116	0.0986232198266686	0.0294284461474895	0.666666666666667	0.0982616963542319	2.23179203990937
L2	P2	1423	1.20874316349349	1.2429090344104	-0.0341658709169055	0.200706261973662	0.634574841883345	0.241377608570439	2.30506541714465
L3	P2	1712	1.21426845716119	1.28171730074429	-0.067448843583103	0.243126424204243	0.660046728971963	0.200968478599281	2.43682454651694
L4	P4	1489	1.20893823677449	1.20330056870926	0.00563766806522131	0.157457073298341	0.664204163868368	-0.0976386097502305	2.59062553267375
L1	P1	1369	1.11127234443383	0.981158046652465	0.13011429778136	0.271726304028082	0.713659605551498	0.304514723554554	2.32745012410585
L2	P4	1166	1.25537258227709	1.16788372586976	0.0874888564073347	0.131559034100472	0.657804459691252	-0.193716445349008	2.59259271338024
L2	P3	1417	1.10328792603265	1.14798493597571	-0.0446970099430529	0.252909120235619	0.715596330275229	0.178771856486783	2.21370978580138
L4	P3	1356	1.28588861839164	1.16991640631121	0.115972212080429	0.112629340860232	0.623156342182891	0.223112908023696	2.5139912029641
