external_cold_category	n	model_mae	global_median_mae	cluster_prior_mae	exact_protein_prior_mae	exact_molecule_prior_mae	combined_entity_prior_mae	cluster_prior_coverage	exact_protein_prior_coverage	exact_molecule_prior_coverage
drug_cold	7378	1.23450502025144	1.25718625973886	1.48414438546867	1.34126553738884	1.25718625973886	1.48414438546867	0.895364597451884	0.511249661154785	0
strict_scaffold_protein_identity_double_cold	15760	1.2004264776582	1.15523640971854	1.15523640971854	1.15523640971854	1.15523640971854	1.15523640971854	0	0	0
protein_identity_cold	1802	1.24463227656655	1.06373148092784	1.06373148092784	1.06373148092784	1.14813903310736	1.14813903310736	0	0	0.0943396226415094
seen_molecule_and_protein_cluster_new_pair	496	1.073299109863	0.740556910823306	1.16848591584355	0.891357299845244	0.938108699188821	1.20434933856067	0.721774193548387	0.183467741935484	0.245967741935484
