external_cold_category	n	unique_documents	primary_documents	document_components	effective_document_components	largest_document_component_fraction	multi_document_fraction	mean_measurement_count	median_measurement_count	multi_measurement_fraction	observed_mean	observed_sd	observed_iqr	predicted_mean	predicted_sd	category
drug_cold	7378	846	822	705	16.3241640726679	0.21035510978585	0.0363242071021957	1.33870967741935	1	0.268365410680401	6.78398736131279	1.46011000828179	2.0567133667419	6.62253742162633	1.05288116767459	Ligand cold
protein_identity_cold	1802	304	290	251	3.12806236080175	0.562708102108768	0.0449500554938957	1.1842397336293	1	0.101553829078801	6.15859793445414	1.37709206590519	1.60742126391686	6.66601731740405	0.85368758559896	Target cold
seen_molecule_and_protein_cluster_new_pair	496	43	37	31	1.21413836329	0.907258064516129	0.0403225806451613	1.10282258064516	1	0.0645161290322581	6.29140197281684	0.941630191213317	1.22630271121378	7.05441823537325	0.77302655939959	New relation
strict_scaffold_protein_identity_double_cold	15760	1932	1896	1694	16.0234681111971	0.181408629441624	0.0206218274111675	1.14308375634518	1	0.102791878172589	6.46661003011755	1.39388195149414	2.01200993070944	6.64988348529126	0.746534559005126	Double cold
