external_cold_category	category	analysis_set	analysis_role	n	pairs_removed	dominant_component_fraction	remaining_document_components	model_mae	baseline_mae	delta_mae	spearman	r2	coverage_90	mean_bias	calibration_slope	observed_mean	observed_sd
drug_cold	Ligand cold	Full category	post-unblind worst-case source sensitivity	7378	0	0.21035510978585	705	1.23450502025144	1.25718625973886	-0.0226812394874171	0.26335898805488	-0.10594840931002	0.658308484684196	-0.161449939686468	0.409881164745095	6.78398736131279	1.46011000828179
drug_cold	Ligand cold	Largest component removed	post-unblind worst-case source sensitivity	5826	1552	0.21035510978585	704	1.22594728210738	1.32619840032655	-0.100251118219168	0.330501858998296	-0.0515366265227206	0.665465156196361	-0.297654715541882	0.488570081664715	6.86231229237576	1.50038898760178
protein_identity_cold	Target cold	Full category	post-unblind worst-case source sensitivity	1802	0	0.562708102108768	251	1.24463227656655	1.06373148092784	0.180900795638708	0.223897648913627	-0.237571101435578	0.639289678135405	0.50741938294991	0.367650291711297	6.15859793445414	1.37709206590519
protein_identity_cold	Target cold	Largest component removed	post-unblind worst-case source sensitivity	788	1014	0.562708102108768	250	1.38737331287888	1.50995405640065	-0.122580743521768	0.337339545776559	0.0780346093674087	0.58502538071066	0.228881826444479	0.702363928164268	6.04806539411496	1.78438304830389
seen_molecule_and_protein_cluster_new_pair	New relation	Full category	post-unblind worst-case source sensitivity	496	0	0.907258064516129	31	1.073299109863	0.740556910823306	0.33274219903969	0.181302905534366	-1.01230387329038	0.721774193548387	0.763016262556412	0.237096187771653	6.29140197281684	0.941630191213317
seen_molecule_and_protein_cluster_new_pair	New relation	Largest component removed	post-unblind worst-case source sensitivity	46	450	0.907258064516129	30	1.21914517328179	1.30442993122834	-0.0852847579465531	0.254672178586061	-0.197919602351828	0.673913043478261	-0.487191889706928	0.431735048452651	6.82161393712697	1.43939753104818
strict_scaffold_protein_identity_double_cold	Double cold	Full category	post-unblind worst-case source sensitivity	15760	0	0.181408629441624	1694	1.2004264776582	1.15523640971854	0.0451900679396585	0.176688327118712	-0.107055306811056	0.660723350253807	0.183273455173709	0.343528737343363	6.46661003011755	1.39388195149414
strict_scaffold_protein_identity_double_cold	Double cold	Largest component removed	post-unblind worst-case source sensitivity	12901	2859	0.181408629441624	1693	1.20558756265645	1.16440814041061	0.0411794222458416	0.19247770051694	-0.101786261289771	0.659638787690877	0.197621476487125	0.363466755107733	6.50302845864578	1.41215413331594
