document_component_id	pairs
DOCCOMP_9fe7dad9156ae377	3
DOCCOMP_959471f28d998c2f	3
DOCCOMP_296f514920516ee4	3
DOCCOMP_7c90f1a8fb50e1cf	3
PATCOMP_9c6f8fb0430e88fa	3
DOCCOMP_594561dbcb7c60ca	3
PATCOMP_4a304b5db30ed9f0	3
DOCCOMP_e9c8fce892fddc95	3
DOCCOMP_606036f1918bf2bf	3
DOCCOMP_4407bc531d7f9d08	3
DOCCOMP_bb1a99c4416ef11d	3
DOCCOMP_5cc14f94ab75d84a	3
PATCOMP_5b0930611bda0f60	3
DOCCOMP_bb76456c4f3dca8e	3
PATCOMP_78d2a6ca66e57bf2	3
DOCCOMP_e9775013b563e5ef	2
DOCCOMP_ef5a87a0b2b97c13	2
DOCCOMP_f5457dcaf842b1c0	2
DOCCOMP_ef09afb2679dd0f9	2
DOCCOMP_eddad7f9df2a9dc3	2
DOCCOMP_f66027a54548844d	2
DOCCOMP_89bf118817c96a78	2
PATCOMP_9a70f27d23da8ed0	2
DOCCOMP_075bca63a2a8f871	2
DOCCOMP_0bd46436487a51d7	2
DOCCOMP_0e311453a42f9e62	2
DOCCOMP_1f46a05c7a312bb8	2
DOCCOMP_254d25de96c92538	2
DOCCOMP_264c970665704a4d	2
DOCCOMP_4b1f00941eeeb184	2
DOCCOMP_692acebecbd2f3d8	2
DOCCOMP_78daa62af244598e	2
DOCCOMP_7b091953eee2e4aa	2
DOCCOMP_dbfe2d975d3e369f	2
DOCCOMP_fad9077169b4f246	2
PATCOMP_8347fb62019ac8b2	2
DOCCOMP_930b05625e7c1220	2
DOCCOMP_9b2d5d816e424fe8	2
PATCOMP_755d5eafe440ccbf	2
DOCCOMP_a2c38bf5ee4e2d18	2
DOCCOMP_b6ae1fa27ef709d8	2
DOCCOMP_ba18928a304674d5	2
DOCCOMP_d15d4479ed74212e	2
PATCOMP_4708ebc447712826	2
DOCCOMP_d8dba09ceca266f1	2
DOCCOMP_09433ac6be8cdee6	2
PATCOMP_32b59009b1422e9c	1
DOCCOMP_ffa719866f6aba34	1
DOCCOMP_03f622601dab2342	1
DOCCOMP_f9a5c0397e1b1002	1
DOCCOMP_64ec31dc732726b3	1
DOCCOMP_48ec571d86ff5978	1
DOCCOMP_4aa21c34dc6550c2	1
DOCCOMP_4aade5a55fa05c8c	1
DOCCOMP_56f8deedd1b9211a	1
DOCCOMP_584b20f524b049a5	1
DOCCOMP_59d552f1e53772e3	1
DOCCOMP_5a47cf1ae72f3806	1
DOCCOMP_5ab4e91029bf2f3f	1
DOCCOMP_5f6db336757e51d6	1
DOCCOMP_68d5649a47cdab0c	1
DOCCOMP_f8cafe8275cbf034	1
DOCCOMP_698d9eea4ff1d7c1	1
DOCCOMP_6a8f43dbc8e92597	1
DOCCOMP_6d46bcef0c920f43	1
DOCCOMP_7973435735a1f2b7	1
DOCCOMP_7a6c8605cea4ccef	1
DOCCOMP_7b0c5af88677738b	1
DOCCOMP_82a55ea5b30ad87e	1
DOCCOMP_854e87a87139eadc	1
DOCCOMP_859335e4361d2fc3	1
DOCCOMP_424c6f563e8297a0	1
DOCCOMP_3fba49b69e358e68	1
DOCCOMP_3ee6857dac58ae31	1
DOCCOMP_39cc23b2069c635e	1
DOCCOMP_0b303d29b59a2911	1
DOCCOMP_0f0944f6c3527841	1
DOCCOMP_156b9829e241c0a5	1
DOCCOMP_16384b83366d9764	1
DOCCOMP_1d8fa0c2ff3e3d1f	1
DOCCOMP_1d96bf2ba38a9ef0	1
DOCCOMP_1daf5064c93d9a16	1
DOCCOMP_1df22096261bc34b	1
DOCCOMP_1e07da8c735e2922	1
DOCCOMP_200e5ddf82e98576	1
DOCCOMP_231df9c996412407	1
DOCCOMP_23d2d7c875894dd9	1
DOCCOMP_256f0a44aea1697d	1
DOCCOMP_25faf2c15f63f6cb	1
DOCCOMP_2a01a1a010b096b2	1
DOCCOMP_2a7256cadb9462c2	1
DOCCOMP_2dff2c1568134fc1	1
DOCCOMP_32959e815da02a0c	1
DOCCOMP_36b13d0748f9a652	1
DOCCOMP_89800132adf1f71b	1
DOCCOMP_8f00a48ee3e0eb2b	1
DOCCOMP_952f6b4166d2bcf4	1
DOCCOMP_d47db3727c282d1a	1
DOCCOMP_d538086b7a25480b	1
DOCCOMP_d84a06426f202edb	1
DOCCOMP_d8522e32271a5471	1
DOCCOMP_db66dd2230dc2bad	1
DOCCOMP_db83e6cb7466eea1	1
DOCCOMP_dcf18788aa45b527	1
DOCCOMP_de0845970dd1552b	1
DOCCOMP_dfe92cbab96710a4	1
DOCCOMP_e0ed3a74fa555255	1
DOCCOMP_e24842ff449cb383	1
DOCCOMP_e4ce01b76a32a823	1
DOCCOMP_e7a73e22fd2065ee	1
DOCCOMP_e8981383f968f101	1
DOCCOMP_eb24cb1c84c7dc1e	1
DOCCOMP_eced4791a419c9dd	1
DOCCOMP_ef75ae4e50cc8d63	1
DOCCOMP_f0751e650901225b	1
DOCCOMP_f4503c0950a067cc	1
DOCCOMP_f5987a9d1fb5a4e5	1
DOCCOMP_d4f20348e93b9181	1
DOCCOMP_ce642fe0760c3313	1
DOCCOMP_98b16242ad834989	1
DOCCOMP_ce2a0946406b6930	1
DOCCOMP_990ab06969aa1cc0	1
DOCCOMP_9babdb109a90fdec	1
DOCCOMP_9e9bb790a13f416d	1
DOCCOMP_a0b452b73a2ee5c8	1
DOCCOMP_a0e573f44eaa83c1	1
DOCCOMP_a538c266144a0835	1
DOCCOMP_a6da3d0bbc187240	1
DOCCOMP_aa4b7dc88de4bcfa	1
DOCCOMP_b272bc5fc78b244b	1
DOCCOMP_b28ee1d25354f94a	1
DOCCOMP_b82631cea249e0b4	1
DOCCOMP_bb4290e39d6948ab	1
DOCCOMP_bc7923d2538eac2e	1
DOCCOMP_be23d02e369a50ff	1
DOCCOMP_c40a727969b92915	1
DOCCOMP_c5922f7d9c767b90	1
DOCCOMP_c954349b5e1f8692	1
DOCCOMP_ca221fc5888e7976	1
DOCCOMP_cdfad7502e45be93	1
DOCCOMP_c881cdb912cfa3d4	1
