between_to_within_signal_ratio	local_prediction_signal	replicate	global_spearman	pooled_within_target_centered_spearman	macro_target_spearman	attenuation
0.25	0.05	0	0.039726305365489836	-0.005942545793434578	-0.014125874125874129	0.04566885115892441
0.25	0.05	1	0.05102237570998314	0.015787726241476556	0.01307692307692308	0.03523464946850658
0.25	0.05	2	0.050902243682113664	0.0002351182188320964	-0.006853146853146843	0.050667125463281566
0.25	0.05	3	0.09199087638255304	0.03212347369685673	0.046013986013986	0.05986740268569631
0.25	0.05	4	0.06661410875979774	0.005175288316172442	0.0032867132867132874	0.0614388204436253
0.25	0.05	5	0.13872309633548358	0.07749204686947699	0.070979020979021	0.06123104946600659
0.25	0.05	6	0.03400919028415992	-0.021587987213880007	-0.012657342657342663	0.055597177498039926
0.25	0.05	7	0.11170932063147267	0.03264672406022504	0.009650349650349648	0.07906259657124762
0.25	0.05	8	0.09181166098032012	0.023689294228676546	0.0272027972027972	0.06812236675164357
0.25	0.05	9	0.03454908649242118	-0.014774961649278922	-0.014615384615384617	0.049324048141700105
0.25	0.05	10	0.07587489991312495	0.01372157897331873	0.008321678321678324	0.06215332093980622
0.25	0.05	11	0.10267744630378216	0.04775680399778055	0.06174825174825175	0.054920642306001605
0.25	0.05	12	0.05482812140841764	0.007289956451358647	0.009650349650349648	0.047538164957058995
0.25	0.05	13	0.03498533679537277	-0.03767824144322323	-0.03860139860139861	0.07266357823859601
0.25	0.05	14	0.0648049755590108	0.024949683992836105	0.015314685314685317	0.03985529156617469
0.25	0.05	15	0.036574886510337856	-0.04206070976438178	-0.03832167832167833	0.07863559627471964
0.25	0.05	16	0.0719686124782031	0.02524723975502761	0.023846153846153854	0.04672137272317549
0.25	0.05	17	0.10141290375896095	0.031102396598886525	0.024755244755244758	0.07031050716007442
0.25	0.05	18	0.013115946608296255	-0.03932608286533532	-0.03594405594405595	0.05244202947363158
0.25	0.05	19	0.03763466502407293	-0.00732941481209362	-0.020839160839160837	0.04496407983616655
0.25	0.05	20	0.08565394837079748	0.018031838910999243	0.023286713286713293	0.06762210945979824
0.25	0.05	21	0.09567292755064413	0.04900483958669415	0.0667132867132867	0.04666808796394998
0.25	0.05	22	0.08122475085052143	0.017139734124815367	0.00678321678321678	0.06408501672570606
0.25	0.05	23	0.017535019121541057	-0.011770910952021495	-0.020979020979020987	0.029305930073562553
0.25	0.05	24	0.07900359653027536	0.006489601728890089	0.0017482517482517472	0.07251399480138528
0.25	0.05	25	0.050751840799889446	-0.0030546618435151694	0.010419580419580418	0.05380650264340461
0.25	0.05	26	0.01939602735835233	-0.05352168994561801	-0.05223776223776225	0.07291771730397034
0.25	0.05	27	0.07990144437600305	0.030585861517959386	0.030279720279720285	0.04931558285804366
0.25	0.05	28	0.04791008882645058	-0.003939037457664902	0.00902097902097901	0.051849126284115477
0.25	0.05	29	0.08480683667141435	-0.004985843740169264	-0.003076923076923077	0.08979268041158361
0.25	0.05	30	0.05546119129249396	-0.00710158826499185	-0.01013986013986015	0.0625627795574858
0.25	0.05	31	0.10093921593001107	0.04573969148589686	0.04545454545454547	0.055199524444114204
0.25	0.05	32	0.043389050964618724	-0.03649806006809727	-0.010559440559440563	0.079887111032716
0.25	0.05	33	0.04846265865462407	-0.005936788844992253	-0.014615384615384624	0.054399447499616324
0.25	0.05	34	0.06586858046429199	0.016859907541602458	0.01734265734265734	0.04900867292268953
0.25	0.05	35	0.0549452464897545	0.011388487075338247	0.0019580419580419615	0.04355675941441625
0.25	0.05	36	0.043175557760804	0.0261366292615481	0.029790209790209805	0.0170389284992559
0.25	0.05	37	0.08690971313174523	0.0026919185360545386	0.011398601398601398	0.08421779459569069
0.25	0.05	38	0.07538556623997655	0.014657857401289864	-0.013566433566433576	0.06072770883868669
0.25	0.05	39	0.0455023371544008	0.006386059990319438	0.010139860139860141	0.039116277164081364
0.25	0.05	40	0.06498823263071711	0.016415115566052477	0.02006993006993008	0.048573117064664634
0.25	0.05	41	0.09319663416432929	0.035160934139537595	0.029720279720279727	0.05803570002479169
0.25	0.05	42	0.07620605292087008	-0.00394257912679106	0.005174825174825177	0.08014863204766115
0.25	0.05	43	0.040337208567505944	-0.003937468012130564	-0.007692307692307696	0.04427467657963651
0.25	0.05	44	0.11817779040124332	0.04089316728692173	0.05237762237762238	0.07728462311432159
0.25	0.05	45	0.0768607617088623	0.006601893473537135	0.002587412587412592	0.07025886823532516
0.25	0.05	46	0.07859834624885155	0.017687422005154167	0.010139860139860147	0.06091092424369739
0.25	0.05	47	0.06511856605455976	0.00030976410400285	-0.007692307692307694	0.06480880195055691
0.25	0.05	48	0.12951938855513093	0.06955347885658254	0.06216783216783218	0.059965909698548384
0.25	0.05	49	0.11970245812670703	0.06839891555480246	0.059860139860139855	0.05130354257190457
