model_id	endpoint	null_value	estimate	bootstrap_se	simultaneous_95_ci_low	simultaneous_95_ci_high	max_t_adjusted_p	valid_joint_bootstrap_replicates	holm_across_endpoints_p
global_top5_morgan_similarity_v1_8	target_rank_attenuation	0.0	0.1430046158352316	0.0541317513158495	0.0061889540039245	0.2798202776665387	0.0384807596201899	2000	0.1154422788605697
hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	0.0	0.1453301844151969	0.0636724831719555	-0.0155992648240189	0.3062596336544128	0.0914542728635682	2000	0.0914542728635682
ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	0.0	0.0593793564507945	0.07575276307571	-0.132082478125374	0.250841191026963	0.8735632183908046	2000	0.8735632183908046
smiles_protein_cross_attention_v1_8	target_rank_attenuation	0.0	0.0029152505839454	0.0634907299294878	-0.1575548251904601	0.163385326358351	1.0	2000	1.0
