model_id	model_label	n_eligible_targets	n_estimable_target_rho	macro_mean_target_rho	macro_median_target_rho	macro_q25_target_rho	macro_q75_target_rho	fraction_target_rho_positive	fraction_target_rho_at_least_0_10	macro_mean_target_tau	macro_median_top10_enrichment	macro_mean_best_ligand_regret_pkd	pooled_within_target_centered_rho
global_top5_morgan_similarity_v1_8	Morgan similarity	126	123	0.0103061675182528	-0.008301707982864715	-0.2584819603582249	0.23324944795289343	0.4796747967479675	0.3821138211382114	0.008247335654320922	0.0	1.2843222042022124	0.031536409459501986
hgb_fusion_additive_pre2018_v1_8	Additive HGB	126	123	0.11658877263027806	0.14285714285714288	-0.07110303853151148	0.31562459029340784	0.6585365853658537	0.5284552845528455	0.08464457988506656	0.0	1.2617716465408932	0.12165279636341411
ligand_mpnn_frozen_esm2_v1_8	Ligand MPNN + ESM-2	126	123	0.0804715149547586	0.04553422044199251	-0.16303530346345002	0.3935290394646314	0.5528455284552846	0.44715447154471544	0.057505767708437655	0.0	1.2163540763533525	0.1557667718947444
smiles_protein_cross_attention_v1_8	SMILES-protein cross-attention	126	123	0.1406389879613753	0.14285714285714288	-0.1531792574651749	0.4648799262682407	0.6260162601626016	0.5121951219512195	0.10219124731639918	0.0	1.1954990941165105	0.20586203548240567
