between_to_within_signal_ratio	local_prediction_signal	global_spearman_mean	global_spearman_q025	global_spearman_q975	within_centered_mean	within_centered_q025	within_centered_q975	macro_target_mean	attenuation_mean
0.25	0.05	0.07054041649218738	0.01747190918188138	0.12441529126061893	0.011780256676104172	-0.042072735988011103	0.06842777963734696	0.009397727272727275	0.0587601598160832
0.25	0.2	0.10331953905292064	0.03988736363705808	0.17123532290647425	0.048501530903840906	-0.012442258814068621	0.110676853421426	0.04487441724941725	0.054818008149079736
0.25	0.5	0.15814683436122756	0.10642779040124332	0.21229916808970006	0.11058752798323702	0.055574825051961846	0.17280971219424462	0.10265355477855478	0.04755930637799054
0.5	0.05	0.2113717339097689	0.13792492824647795	0.28111962230529325	0.012770924262215924	-0.04871532792731106	0.07698871613799733	0.011992715617715618	0.19860080964755297
0.5	0.2	0.23596996904743223	0.16256567521921889	0.3040543024682656	0.04955504346993759	-0.014071996751386633	0.1024869899215208	0.04598397435897437	0.18641492557749462
0.5	0.5	0.26940488809945934	0.21072264025877796	0.33154383093321593	0.11083153654389112	0.051454406218337655	0.16490615809455428	0.1027596153846154	0.1585733515555682
1.0	0.05	0.503750609346488	0.4139899548541353	0.5693165255670316	0.015143594920320547	-0.04773757846359615	0.06841740098430624	0.013408508158508161	0.48860701442616744
1.0	0.2	0.5163214745577369	0.4447150532743426	0.5910726134184815	0.050245260297634466	-0.00900030833354745	0.1090347001977085	0.04665850815850816	0.4660762142601025
1.0	0.5	0.527782566776088	0.45402924429114183	0.5988967257963373	0.11376162127543145	0.060027087518810786	0.1616735122732724	0.10472523310023311	0.41402094550065655
2.0	0.05	0.795588655906474	0.743612343307183	0.8423069550742743	0.015338531340415284	-0.056442800133888985	0.0740086178879291	0.014160256410256413	0.7802501245660588
2.0	0.2	0.7985580777023688	0.7326108203894586	0.8449100148680659	0.052101269399029676	-0.009839590166382058	0.10924521232306413	0.048903554778554785	0.746456808303339
2.0	0.5	0.7964348855739946	0.7393097807706811	0.8409125153906356	0.11411978697554652	0.05315207597366387	0.18145418729457455	0.10640763403263405	0.6823150985984481
4.0	0.05	0.9362257030502568	0.9146821711334522	0.9526873591578883	0.014699637320349991	-0.047836334608565706	0.06784566430254466	0.014690850815850818	0.9215260657299067
4.0	0.2	0.9371855271832366	0.9166322263071014	0.9536299238749472	0.054105352214364966	-0.0058997855206843865	0.11063682717835222	0.049996794871794877	0.8830801749688715
4.0	0.5	0.9370474837424656	0.9190506331948841	0.9534127867449907	0.11209945310725909	0.0495838226276546	0.17459249954340247	0.10342890442890444	0.8249480306352065
8.0	0.05	0.9815064294315482	0.9740343505446879	0.9866864383239154	0.009990734686852793	-0.054657785526239955	0.07039952927050645	0.009212121212121215	0.9715156947446955
8.0	0.2	0.9819429807185052	0.9744933902731877	0.9871200681389364	0.05013245127832265	-0.005958685387975964	0.10515504385766937	0.04603758741258742	0.9318105294401825
8.0	0.5	0.9814064742116719	0.974425943004127	0.9867729552242747	0.11116827479857046	0.05216379646791422	0.16692319057166016	0.10326107226107227	0.8702381994131014
