model_id	estimate	ci_low	ci_high	resampling_unit	interval_type
global_top5_morgan_similarity_v1_8	0.1430046158352316	0.0061889540039245	0.2798202776665387	document_component	simultaneous
hgb_fusion_additive_pre2018_v1_8	0.1453301844151969	-0.0155992648240189	0.3062596336544128	document_component	simultaneous
ligand_mpnn_frozen_esm2_v1_8	0.0593793564507945	-0.132082478125374	0.250841191026963	document_component	simultaneous
smiles_protein_cross_attention_v1_8	0.0029152505839454	-0.1575548251904601	0.163385326358351	document_component	simultaneous
global_top5_morgan_similarity_v1_8	0.1430046158352316	0.052595737296647	0.2349629751489577	exact_protein	ordinary
hgb_fusion_additive_pre2018_v1_8	0.1453301844151969	-0.0055182887869687	0.294007809009283	exact_protein	ordinary
ligand_mpnn_frozen_esm2_v1_8	0.0593793564507945	-0.0792501155782123	0.1977450936893607	exact_protein	ordinary
smiles_protein_cross_attention_v1_8	0.0029152505839454	-0.1148971923756145	0.1184038911315474	exact_protein	ordinary
global_top5_morgan_similarity_v1_8	0.1430046158352316	0.0638111849566328	0.2079195891451507	scaffold	ordinary
hgb_fusion_additive_pre2018_v1_8	0.1453301844151969	0.0644645484805982	0.2275971952888516	scaffold	ordinary
ligand_mpnn_frozen_esm2_v1_8	0.0593793564507945	-0.0217781161759667	0.1591865071809259	scaffold	ordinary
smiles_protein_cross_attention_v1_8	0.0029152505839454	-0.0672185040150913	0.0912094706709293	scaffold	ordinary
global_top5_morgan_similarity_v1_8	0.1430046158352316	0.0913775329226031	0.2015921264364178	source_origin	ordinary
hgb_fusion_additive_pre2018_v1_8	0.1453301844151969	0.0466962279118974	0.2278502448162589	source_origin	ordinary
ligand_mpnn_frozen_esm2_v1_8	0.0593793564507945	-0.0920617764749854	0.2370325010575977	source_origin	ordinary
smiles_protein_cross_attention_v1_8	0.0029152505839454	-0.1658785141604415	0.0656996676576881	source_origin	ordinary
