model_id	sensitivity	category	nonabstained_pairs	exact_proteins	eligible_within_target_groups	source_wide_spearman	within_target_centered_spearman	within_target_pairwise_concordance	target_rank_attenuation
global_top5_morgan_similarity_v1_8	strict_publication_and_entry_post_2024	locked_temporal	1915	133	87	0.1948630089012953	0.0134368973912185	0.5089570416103358	0.1814261115100768
hgb_fusion_additive_pre2018_v1_8	strict_publication_and_entry_post_2024	locked_temporal	1915	133	87	0.1842234257658616	0.0610170209638693	0.5169926265369831	0.1232064048019922
ligand_mpnn_frozen_esm2_v1_8	strict_publication_and_entry_post_2024	locked_temporal	1915	133	87	0.1599163662474655	0.1731257080073577	0.5436834787369694	-0.0132093417598922
smiles_protein_cross_attention_v1_8	strict_publication_and_entry_post_2024	locked_temporal	1915	133	87	0.124381313834679	0.1440704992467976	0.5286786706434387	-0.0196891854121185
