sensitivity	category	model_id	nonabstained_pairs	exact_proteins	eligible_within_target_groups	source_wide_spearman	within_target_centered_spearman	within_target_pairwise_concordance	target_rank_attenuation
source_origin__database_entry_residual_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	330	19	16	-0.37798236661870777	0.04592555499819225	0.4816934647900403	-0.4239079216169
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	2359	340	125	0.17870536211495308	0.03435001171483986	0.5030474547136021	0.1443553504001132
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	2359	340	125	0.2620656396553738	0.13722772696954233	0.5427723679668	0.1248379126858315
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	2359	340	125	0.2039303111157773	0.15079711916421987	0.5313842223460555	0.05313319195155744
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	2359	340	125	0.25887863184891136	0.2251751901667425	0.5485727356478295	0.03370344168216885
source_origin__database_entry_chembl_import	mandatory_source_origin	global_top5_morgan_similarity_v1_8	750	235	40	0.04719468314844273	-0.04708184707107078	0.47703170576053894	0.09427653021951352
source_origin__database_entry_chembl_import	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	750	235	40	0.23239582633917077	0.18184009561677175	0.5723183903413507	0.05055573072239902
source_origin__database_entry_chembl_import	mandatory_source_origin	ligand_mpnn_frozen_esm2_v1_8	750	235	40	0.17767014608752038	-0.01804621842233694	0.4705918022296629	0.19571636450985733
source_origin__database_entry_chembl_import	mandatory_source_origin	smiles_protein_cross_attention_v1_8	750	235	40	0.19714834309239246	0.25809283234748	0.5421081597363359	-0.060944489255087525
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	1939	130	91	0.19851204291842084	0.015653709984046908	0.5124423524515458	0.18285833293437392
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	1939	130	91	0.18959199210907848	0.06446297937753438	0.518938609382115	0.1251290127315441
