model_id	nonabstained_pairs	abstentions	abstention_rate	eligible_within_target_groups	source_wide_spearman	within_target_centered_spearman	within_target_pairwise_concordance	target_rank_attenuation	within_document_component_centered_spearman	within_source_stratum_centered_spearman	mae	median_absolute_error	rmse	calibration_slope_observed_on_predicted	calibration_intercept	dispersion_ratio_predicted_to_observed	interval_90_coverage	mean_interval_width	within_target_top10_enrichment	best_ligand_selection_regret_pkd	utility_target_groups
development_exact_median_v1_8	2689	0	0.0	126			0.5				1.5305337296456696	1.361727931002239	1.8851368676845253			0.0	0.8999628114540722	5.922327995300293	1.545822587667568	1.322045662071436	126
global_top5_morgan_similarity_v1_8	2689	0	0.0	126	0.17453962403294246	0.03153500819771083	0.5035113609219793	0.14300461583523164	0.05501042449890661	0.15215724356776872	1.6452126796443984	1.3624908494741987	2.073063109459127	0.25020401398155223	4.805792621590584	0.6593952254717526	0.9390107846783191	7.893105983734131	0.9425879808976078	1.3384248735230255	126
hgb_fusion_additive_pre2018_v1_8	2689	0	0.0	126	0.2669829807786111	0.12165279636341413	0.5403762073110209	0.14533018441519696	0.06115792924575432	0.1915017718961361	1.484674152365291	1.2537091440662875	1.8433282453746953	0.6368315690394495	2.162751990518321	0.4010195075146274	0.5660096690219413	3.0196044387324346	1.0345931901992507	1.2575548853280585	126
ligand_mpnn_frozen_esm2_v1_8	2689	0	0.0	126	0.21514612834553887	0.15576677189474436	0.5276206458519298	0.05937935645079451	-0.022380576158567814	0.16181281271706452	1.5491637894290629	1.3222355389603457	1.9156899025754688	0.42557474061698086	3.6848411268417354	0.5531642537014925	0.6998884343622165	4.172337532043457	1.1660062019910507	1.206827333278371	126
smiles_protein_cross_attention_v1_8	2689	0	0.0	126	0.20877728606635118	0.2058620354824057	0.5478717626734361	0.0029152505839454834	0.064684037494323	0.16245723357790945	1.4822622916533124	1.3293879051892574	1.8266914322542658	0.6925800282618508	1.9249223620032083	0.3515143206651099	0.7902566009669022	4.5678510665893555	1.2901945884173773	1.190181247687337	126
