sensitivity	category	model_id	endpoint	nonabstained_pairs	exact_proteins	eligible_within_target_groups	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	1939	130	91	0.06446297937753438	0.03544753846542565	-0.008034941638813032	0.13346407601883786	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	1939	130	91	0.518938609382115	0.012080777930290386	0.4991938417564573	0.5472461498507082	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	1939	130	91	0.1251290127315441	0.08128274771256774	-0.037428115839383866	0.28482466583699334	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	1939	130	91	0.14428383317240442	0.08845433467118737	-0.03680220547782684	0.3093348081803412	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	1939	130	91	0.1743937911104594	0.045548994879421864	0.0574903476348165	0.2390243412612403	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	1939	130	91	0.5517211945745318	0.014851545802975314	0.5159066595095684	0.5733936561269064	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	1939	130	91	-0.030109957938054988	0.0994588473603063	-0.19991817232191605	0.18998085633230904	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	source_wide_spearman	1939	130	91	0.12354383570312709	0.08228197328348731	-0.03797058761089196	0.28089788726252574	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	1939	130	91	0.14747834997306783	0.041582963041233864	0.052556563464542405	0.21661933883251103	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	1939	130	91	0.5360610140932648	0.014607068822887427	0.5048222785065317	0.5633570640531652	2000
leave_one_origin_out__database_entry_chembl_import	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	target_rank_attenuation	1939	130	91	-0.02393451426994074	0.08310520722348907	-0.16939594736946317	0.15438032175118416	2000
