sensitivity	category	model_id	endpoint	nonabstained_pairs	exact_proteins	eligible_within_target_groups	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	source_wide_spearman	1848	298	83	0.19302188538598616	0.0658968020587086	0.06545205835345258	0.32320980330118143	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	1848	298	83	0.16488628193375396	0.04214887291067391	0.08305910027371613	0.2466549402092107	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	1848	298	83	0.5466871803676752	0.017077998151342217	0.5199594222396434	0.5904025119162197	2000
leave_one_origin_out__strict_dual_timestamp_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	target_rank_attenuation	1848	298	83	0.028135603452232205	0.06753518990498018	-0.10593773966297672	0.15755801600841884	2000
source_origin__database_entry_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	source_wide_spearman	768	66	42	0.1888398880002878	0.08357417160843097	0.019956064542853914	0.3405424228768735	2000
source_origin__database_entry_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	768	66	42	0.0011054149323351011	0.06681783080233587	-0.10622891162998634	0.15059017936562205	2000
source_origin__database_entry_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	768	66	42	0.5220955721106273	0.022841107128522418	0.47986287035936576	0.5701550354006154	2000
source_origin__database_entry_patent	mandatory_source_origin	global_top5_morgan_similarity_v1_8	target_rank_attenuation	768	66	42	0.1877344730679527	0.07970676948557226	0.013727665920742066	0.32026496584084085	2000
source_origin__database_entry_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	768	66	42	0.33107282297191687	0.11586162599660647	0.09771941850681606	0.5411778986136886	2000
source_origin__database_entry_patent	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	768	66	42	0.11208192507765645	0.05192310505809763	0.01681401339473363	0.22319895401532167	2000
