source	stratum	model_id	estimate	low	high	scheme	model_label_plot	stratum_plot
BioLiP/MOAD	drug_cold	hgb_molecule	0.464082935929957	0.292205619936092	0.635960251923823	Scaffold	HGB ligand	Ligand cold
BioLiP/MOAD	drug_cold	hgb_protein	0.409689749246288	0.220209760587678	0.599169737904897	Scaffold	HGB protein	Ligand cold
BioLiP/MOAD	drug_cold	hgb_fusion_additive	0.564616838998667	0.431558162260494	0.697675515736839	Scaffold	HGB additive	Ligand cold
BioLiP/MOAD	drug_cold	hgb_fusion_interaction	0.526134332152421	0.405068335234801	0.647200329070041	Scaffold	HGB interaction	Ligand cold
BioLiP/MOAD	drug_cold	phase15_esm2_aft_frozen	0.617551221027469	0.474756252165785	0.760346189889154	Scaffold	Frozen ESM2-AFT	Ligand cold
BioLiP/MOAD	protein_identity_cold	hgb_molecule	0.237108655164313	0.135764661431293	0.338452648897333	Scaffold	HGB ligand	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_protein	0.081562531585904	-0.0707777930960015	0.233902856267809	Scaffold	HGB protein	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_fusion_additive	0.2454868510628	0.117520393179678	0.373453308945922	Scaffold	HGB additive	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_fusion_interaction	0.291163885271159	0.194236882903564	0.388090887638753	Scaffold	HGB interaction	Target cold
BioLiP/MOAD	protein_identity_cold	phase15_esm2_aft_frozen	0.128141614874596	0.00278284046594091	0.253500389283252	Scaffold	Frozen ESM2-AFT	Target cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	0.387639662185052	0.291827397041007	0.483451927329096	Scaffold	HGB ligand	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_protein	-0.0292989379396784	-0.151206943202531	0.0926090673231741	Scaffold	HGB protein	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	0.234040395599365	0.118992483412832	0.349088307785898	Scaffold	HGB additive	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	0.24557706422415	0.135684515265852	0.355469613182448	Scaffold	HGB interaction	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	0.283908989131822	0.166668027640231	0.401149950623414	Scaffold	Frozen ESM2-AFT	Double cold
ChEMBL37	overall	hgb_molecule	0.15669558518856	0.0902804027828245	0.223110767594296	Scaffold	HGB ligand	Overall
ChEMBL37	overall	hgb_protein	0.118251360719027	0.0933765664442348	0.143126154993819	Scaffold	HGB protein	Overall
ChEMBL37	overall	hgb_fusion_additive	0.21523142484583	0.182581937190615	0.247880912501045	Scaffold	HGB additive	Overall
ChEMBL37	overall	hgb_fusion_interaction	0.206229166135601	0.172930861240788	0.239527471030414	Scaffold	HGB interaction	Overall
ChEMBL37	overall	phase15_esm2_aft_frozen	0.205985660203322	0.176685001908426	0.235286318498218	Scaffold	Frozen ESM2-AFT	Overall
ChEMBL37	drug_cold	hgb_molecule	0.196007377202472	0.139106198876432	0.252908555528512	Scaffold	HGB ligand	Ligand cold
ChEMBL37	drug_cold	hgb_protein	0.242626911129357	0.196886645742324	0.288367176516389	Scaffold	HGB protein	Ligand cold
ChEMBL37	drug_cold	hgb_fusion_additive	0.308712294957789	0.263856850736606	0.353567739178973	Scaffold	HGB additive	Ligand cold
ChEMBL37	drug_cold	hgb_fusion_interaction	0.300813474322629	0.257323164222546	0.344303784422711	Scaffold	HGB interaction	Ligand cold
ChEMBL37	drug_cold	phase15_esm2_aft_frozen	0.263358988054878	0.216361421180513	0.310356554929243	Scaffold	Frozen ESM2-AFT	Ligand cold
ChEMBL37	protein_identity_cold	hgb_molecule	0.222173037557201	0.043980061807972	0.40036601330643	Scaffold	HGB ligand	Target cold
ChEMBL37	protein_identity_cold	hgb_protein	0.105756421347209	0.0353163208019931	0.176196521892425	Scaffold	HGB protein	Target cold
ChEMBL37	protein_identity_cold	hgb_fusion_additive	0.211338529215751	0.0976360948975386	0.325040963533963	Scaffold	HGB additive	Target cold
ChEMBL37	protein_identity_cold	hgb_fusion_interaction	0.213500491244773	0.100732584224219	0.326268398265326	Scaffold	HGB interaction	Target cold
ChEMBL37	protein_identity_cold	phase15_esm2_aft_frozen	0.223897648913628	0.138873073105791	0.308922224721464	Scaffold	Frozen ESM2-AFT	Target cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	0.132283929472624	0.0557917637107792	0.208776095234469	Scaffold	HGB ligand	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	0.0339234726423259	0.0104522395777754	0.0573947057068764	Scaffold	HGB protein	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	0.162632112626948	0.122783663675039	0.202480561578856	Scaffold	HGB additive	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	0.15643321805019	0.117935989885272	0.194930446215107	Scaffold	HGB interaction	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	0.176688327118712	0.139143375318718	0.214233278918706	Scaffold	Frozen ESM2-AFT	Double cold
BioLiP/MOAD	overall	hgb_molecule	0.439831421969678	0.343172445958279	0.536490397981076	Protein cluster	HGB ligand	Overall
BioLiP/MOAD	overall	hgb_protein	0.231366781895665	0.0879662621741278	0.374767301617203	Protein cluster	HGB protein	Overall
BioLiP/MOAD	overall	hgb_fusion_additive	0.434844253869656	0.323882600814184	0.545805906925128	Protein cluster	HGB additive	Overall
BioLiP/MOAD	overall	hgb_fusion_interaction	0.436091393961134	0.32824676934116	0.543936018581109	Protein cluster	HGB interaction	Overall
BioLiP/MOAD	overall	phase15_esm2_aft_frozen	0.426827729233303	0.304087088680144	0.549568369786462	Protein cluster	Frozen ESM2-AFT	Overall
BioLiP/MOAD	drug_cold	hgb_molecule	0.464082935929957	0.290770525484511	0.637395346375403	Protein cluster	HGB ligand	Ligand cold
BioLiP/MOAD	drug_cold	hgb_protein	0.409689749246288	0.146298539583953	0.673080958908622	Protein cluster	HGB protein	Ligand cold
BioLiP/MOAD	drug_cold	hgb_fusion_additive	0.564616838998667	0.32396248662321	0.805271191374123	Protein cluster	HGB additive	Ligand cold
BioLiP/MOAD	drug_cold	hgb_fusion_interaction	0.526134332152421	0.278662320187476	0.773606344117366	Protein cluster	HGB interaction	Ligand cold
BioLiP/MOAD	drug_cold	phase15_esm2_aft_frozen	0.617551221027469	0.402643146364251	0.832459295690687	Protein cluster	Frozen ESM2-AFT	Ligand cold
BioLiP/MOAD	protein_identity_cold	hgb_molecule	0.237108655164313	0.0982633474568742	0.375953962871751	Protein cluster	HGB ligand	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_protein	0.081562531585904	-0.131897091671024	0.295022154842831	Protein cluster	HGB protein	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_fusion_additive	0.2454868510628	0.0587048345668023	0.432268867558797	Protein cluster	HGB additive	Target cold
BioLiP/MOAD	protein_identity_cold	hgb_fusion_interaction	0.291163885271159	0.109713357953095	0.472614412589222	Protein cluster	HGB interaction	Target cold
BioLiP/MOAD	protein_identity_cold	phase15_esm2_aft_frozen	0.128141614874596	-0.0406356662102225	0.296918895959415	Protein cluster	Frozen ESM2-AFT	Target cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_molecule	0.387639662185052	0.274761956871431	0.500517367498672	Protein cluster	HGB ligand	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_protein	-0.0292989379396784	-0.195555187376781	0.136957311497424	Protein cluster	HGB protein	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	0.234040395599365	0.0816294266932042	0.386451364505526	Protein cluster	HGB additive	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	0.24557706422415	0.100727642120691	0.39042648632761	Protein cluster	HGB interaction	Double cold
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	0.283908989131822	0.105403806988899	0.462414171274746	Protein cluster	Frozen ESM2-AFT	Double cold
ChEMBL37	overall	hgb_molecule	0.15669558518856	0.118010168802021	0.195381001575099	Protein cluster	HGB ligand	Overall
ChEMBL37	overall	hgb_protein	0.118251360719027	0.0520617929964665	0.184440928441587	Protein cluster	HGB protein	Overall
ChEMBL37	overall	hgb_fusion_additive	0.21523142484583	0.149946128452499	0.280516721239161	Protein cluster	HGB additive	Overall
ChEMBL37	overall	hgb_fusion_interaction	0.206229166135601	0.14459193336561	0.267866398905593	Protein cluster	HGB interaction	Overall
ChEMBL37	overall	phase15_esm2_aft_frozen	0.205985660203322	0.154194692234349	0.257776628172295	Protein cluster	Frozen ESM2-AFT	Overall
ChEMBL37	drug_cold	hgb_molecule	0.196007377202472	0.131098071345182	0.260916683059762	Protein cluster	HGB ligand	Ligand cold
ChEMBL37	drug_cold	hgb_protein	0.242626911129357	0.128888004291949	0.356365817966764	Protein cluster	HGB protein	Ligand cold
ChEMBL37	drug_cold	hgb_fusion_additive	0.308712294957789	0.190847564682684	0.426577025232894	Protein cluster	HGB additive	Ligand cold
ChEMBL37	drug_cold	hgb_fusion_interaction	0.300813474322629	0.192133962647503	0.409492985997754	Protein cluster	HGB interaction	Ligand cold
ChEMBL37	drug_cold	phase15_esm2_aft_frozen	0.263358988054878	0.166414543182183	0.360303432927573	Protein cluster	Frozen ESM2-AFT	Ligand cold
ChEMBL37	protein_identity_cold	hgb_molecule	0.222173037557201	0.106233723563509	0.338112351550893	Protein cluster	HGB ligand	Target cold
ChEMBL37	protein_identity_cold	hgb_protein	0.105756421347209	-0.00424128259962728	0.215754125294046	Protein cluster	HGB protein	Target cold
ChEMBL37	protein_identity_cold	hgb_fusion_additive	0.211338529215751	0.0991069196211816	0.32357013881032	Protein cluster	HGB additive	Target cold
ChEMBL37	protein_identity_cold	hgb_fusion_interaction	0.213500491244773	0.106168411415781	0.320832571073765	Protein cluster	HGB interaction	Target cold
ChEMBL37	protein_identity_cold	phase15_esm2_aft_frozen	0.223897648913628	0.122945172040065	0.32485012578719	Protein cluster	Frozen ESM2-AFT	Target cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	0.132283929472624	0.0863578981402347	0.178209960805013	Protein cluster	HGB ligand	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	0.0339234726423259	-0.032145055121904	0.0999920004065558	Protein cluster	HGB protein	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	0.162632112626948	0.101571148884383	0.223693076369513	Protein cluster	HGB additive	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	0.15643321805019	0.0985413359741593	0.21432510012622	Protein cluster	HGB interaction	Double cold
ChEMBL37	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	0.176688327118712	0.121641826546555	0.231734827690869	Protein cluster	Frozen ESM2-AFT	Double cold
BioLiP/MOAD	overall	hgb_molecule	0.439831421969678	0.367500020013813	0.512162823925543	Three way	HGB ligand	Overall
BioLiP/MOAD	overall	hgb_protein	0.231366781895665	0.114072811871778	0.348660751919553	Three way	HGB protein	Overall
BioLiP/MOAD	overall	hgb_fusion_additive	0.434844253869656	0.345861655273276	0.523826852466036	Three way	HGB additive	Overall
BioLiP/MOAD	overall	hgb_fusion_interaction	0.436091393961134	0.347957179784562	0.524225608137707	Three way	HGB interaction	Overall
BioLiP/MOAD	overall	phase15_esm2_aft_frozen	0.426827729233303	0.326868871557142	0.526786586909464	Three way	Frozen ESM2-AFT	Overall
BioLiP/MOAD	drug_cold	hgb_molecule	0.464082935929957	0.344900462026611	0.583265409833303	Three way	HGB ligand	Ligand cold
BioLiP/MOAD	drug_cold	hgb_protein	0.409689749246288	0.175742097369799	0.643637401122776	Three way	HGB protein	Ligand cold
BioLiP/MOAD	drug_cold	hgb_fusion_additive	0.564616838998667	0.376095042790581	0.753138635206752	Three way	HGB additive	Ligand cold
BioLiP/MOAD	drug_cold	hgb_fusion_interaction	0.526134332152421	0.328050595747365	0.724218068557477	Three way	HGB interaction	Ligand cold
BioLiP/MOAD	drug_cold	phase15_esm2_aft_frozen	0.617551221027469	0.441263640443507	0.793838801611431	Three way	Frozen ESM2-AFT	Ligand cold
BioLiP/MOAD	protein_identity_cold	hgb_molecule	0.237108655164313	0.151856662441575	0.322360647887051	Three way	HGB ligand	Target cold
