model_id	endpoint	null_value	estimate	bootstrap_se	simultaneous_95_ci_low	simultaneous_95_ci_high	max_t_adjusted_p	valid_joint_bootstrap_replicates	holm_across_endpoints_p
global_top5_morgan_similarity_v1_8	source_wide_spearman	0.0	0.17453962403294246	0.0485012772903143	0.054470876044247885	0.29460837202163703	0.0009995002498750624	2000	0.00399800099950025
hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	0.0	0.2669829807786111	0.058254805883386995	0.12276860133298911	0.4111973602242331	0.0004997501249375312	2000	0.001999000499750125
ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	0.0	0.21514612834553887	0.062052817883873054	0.06152946980085766	0.3687627868902201	0.001999000499750125	2000	0.005997001499250375
smiles_protein_cross_attention_v1_8	source_wide_spearman	0.0	0.20877728606635118	0.0589985976646969	0.06272159123821669	0.3548329808944857	0.0009995002498750624	2000	0.0029985007496251873
global_top5_morgan_similarity_v1_8	within_target_centered_spearman	0.0	0.03153500819771083	0.03867006060740139	-0.07055464628097258	0.13362466267639422	0.8885557221389305	2000	1.0
hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	0.0	0.12165279636341413	0.036150681914772914	0.026214346878760925	0.21709124584806733	0.005497251374312844	2000	0.01649175412293853
ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	0.0	0.15576677189474436	0.04120566966492068	0.0469830639672381	0.2645504798222506	0.0009995002498750624	2000	0.00399800099950025
smiles_protein_cross_attention_v1_8	within_target_centered_spearman	0.0	0.2058620354824057	0.038671043589076956	0.10376978591444545	0.30795428505036593	0.0004997501249375312	2000	0.001999000499750125
global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	0.5	0.5035113609219793	0.014876118130274204	0.4642226645729082	0.5428000572710505	0.9995002498750625	2000	1.0
hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	0.5	0.5403762073110209	0.01322879835073326	0.5054381786590884	0.5753142359629534	0.015992003998001	2000	0.031984007996002
ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	0.5	0.5276206458519298	0.015259251410834332	0.4873200721441735	0.5679212195596861	0.2913543228385807	2000	0.5827086456771614
smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	0.5	0.5478717626734361	0.013663119215571007	0.5117866672647567	0.5839568580821154	0.00399800099950025	2000	0.0079960019990005
global_top5_morgan_similarity_v1_8	target_rank_attenuation	0.0	0.14300461583523164	0.05413175131584955	0.006188954003924524	0.2798202776665387	0.0384807596201899	2000	0.11544227886056971
hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	0.0	0.14533018441519696	0.06367248317195558	-0.01559926482401891	0.30625963365441283	0.09145427286356822	2000	0.09145427286356822
ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	0.0	0.05937935645079451	0.07575276307571008	-0.132082478125374	0.250841191026963	0.8735632183908046	2000	0.8735632183908046
smiles_protein_cross_attention_v1_8	target_rank_attenuation	0.0	0.0029152505839454834	0.06349072992948783	-0.1575548251904601	0.16338532635835107	1.0	2000	1.0
