source	stratum	model_id	model_label	n	mae	baseline_mae	mae_delta_vs_development_median	mae_relative_improvement_vs_development_median	rmse	spearman	r2	calibration_intercept	calibration_slope	prediction_mean	prediction_sd	prediction_min	prediction_max	outcome_mean	outcome_sd	outcome_min	outcome_max	prediction_sd_to_outcome_sd_ratio	interval_90_coverage	interval_mean_half_width_pkd
BioLiP/MOAD	overall	development_median	Development median	1382	1.6729556591471446	1.6729556591471446	0.0	0.0	2.0170086861384906		-0.23719288972053132	5.291413344444964		6.174574367411814	0.0	6.174574367411814	6.174574367411814	5.291413344444964	1.8140374265148058	0.0457574905606751	13.113509274827518	0.0		
BioLiP/MOAD	overall	hgb_molecule	HGB ligand only	1382	1.2932046555815986	1.6729556591471446	-0.37975100356554603	0.22699406376325548	1.609777429087011	0.4398314219696777	0.21195041252929014	-0.6822028628969985	1.1059788338173184	5.4012030110231395	0.7651437243697203	3.5057123373174823	8.904682003385929	5.291413344444964	1.8140374265148058	0.0457574905606751	13.113509274827518	0.4217904841355683		
BioLiP/MOAD	overall	hgb_protein	HGB protein only	1382	1.6333718826583628	1.6729556591471446	-0.03958377648878186	0.023660983644337108	2.0088241825181923	0.23136678189566556	-0.22717283796188248	1.5268494757596307	0.60446614466507	6.227915164332736	0.7891246972622441	3.7585753905783403	8.636947546429305	5.291413344444964	1.8140374265148058	0.0457574905606751	13.113509274827518	0.43501015234197177		
BioLiP/MOAD	overall	hgb_fusion_additive	HGB additive fusion	1382	1.3392688071756376	1.6729556591471446	-0.33368685197150705	0.1994594717122492	1.663366677938771	0.4348442538696563	0.15860898003515622	-0.8008999653111137	1.0700054272024437	5.6937218773596205	0.774541434872629	3.6832599782798128	8.1688377457735	5.291413344444964	1.8140374265148058	0.0457574905606751	13.113509274827518	0.42697103353634		
BioLiP/MOAD	overall	hgb_fusion_interaction	HGB interaction fusion	1382	1.347856708321677	1.6729556591471446	-0.3250989508254676	0.19432610126152394	1.6761793532511544	0.43609139396113483	0.1455968278726999	-0.7555589384758008	1.0553163003554673	5.730009363907233	0.7776398364647926	3.6658088639037976	8.440757030628552	5.291413344444964	1.8140374265148058	0.0457574905606751	13.113509274827518	0.4286790476858145		
BioLiP/MOAD	overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	1382	1.3120105999355076	1.6729556591471446	-0.360945059211637	0.2157529144530005	1.648979560195572	0.4268277292333035	0.17310108274656955	0.2623178509496148	0.8981548809009906	5.599363317438495	0.913516997417051	2.8194284	9.420761	5.291413344444964	1.8140374265148058	0.0457574905606751	13.113509274827518	0.5035822216590827	0.6425470332850941	1.455871253765381
BioLiP/MOAD	drug_cold	development_median	Development median	291	1.6827405966001032	1.6827405966001032	0.0	0.0	2.069834210235251		-0.008489642106987993	5.984665811734907		6.174574367411814	0.0	6.174574367411814	6.174574367411814	5.984665811734907	2.064654253360931	1.4436974992327127	13.113509274827518	0.0		
BioLiP/MOAD	drug_cold	hgb_molecule	HGB ligand only	291	1.5053774845891792	1.6827405966001032	-0.17736311201092403	0.10540133896411463	1.8632279345472493	0.4640829359299571	0.18279259325473673	-1.741911578142001	1.361778317707358	5.673887804943982	0.7129678578917631	3.9149415401858456	7.672886002492507	5.984665811734907	2.064654253360931	1.4436974992327127	13.113509274827518	0.3453207028397922		
BioLiP/MOAD	drug_cold	hgb_protein	HGB protein only	291	1.4317531078330026	1.6827405966001032	-0.25098748876710064	0.14915399870556922	1.8663451389495276	0.40968974924628787	0.18005590881879208	0.4505107956214904	0.8583300570010454	6.447583853056982	1.1709166714191384	3.7585753905783403	8.636947546429305	5.984665811734907	2.064654253360931	1.4436974992327127	13.113509274827518	0.5671248198157494		
BioLiP/MOAD	drug_cold	hgb_fusion_additive	HGB additive fusion	291	1.298710957463645	1.6827405966001032	-0.38402963913645816	0.22821677917105676	1.661754350892402	0.564616838998667	0.34996914802027723	-1.8773208126198349	1.300971562454953	6.043165624250121	0.966135271862996	3.6832599782798128	7.961631998374368	5.984665811734907	2.064654253360931	1.4436974992327127	13.113509274827518	0.46794046523299504		
