source	stratum	model_id	model_label	n	clusters	delta_mae_model_minus_median	delta_mae_ci_95_low	delta_mae_ci_95_high	bootstrap_probability_model_not_better	bootstrap_two_sided_p	bootstrap_replicates	bootstrap_unit
ChEMBL37	protein_identity_cold	hgb_molecule	HGB ligand only	1802	315	0.08739180547467308	-0.197311283403531	0.1965879515308223	0.649	0.702	1000	document_cluster
ChEMBL37	protein_identity_cold	hgb_protein	HGB protein only	1802	315	0.09272575955939229	-0.07229688753494744	0.1538134468044553	0.852	0.296	1000	document_cluster
ChEMBL37	protein_identity_cold	hgb_fusion_additive	HGB additive fusion	1802	315	0.07216500070576799	-0.1812464614193761	0.19429112999461826	0.615	0.77	1000	document_cluster
ChEMBL37	protein_identity_cold	hgb_fusion_interaction	HGB interaction fusion	1802	315	0.08284056243952247	-0.15926639654698974	0.1899625735628025	0.645	0.71	1000	document_cluster
ChEMBL37	protein_identity_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	1802	315	0.18090079563870823	-0.19567735061621547	0.3419966856942295	0.647	0.706	1000	document_cluster
ChEMBL37	strict_scaffold_protein_identity_double_cold	development_median	Development median	15760	2064	0.0	0.0	0.0	1.0	1.0	1000	document_cluster
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	HGB ligand only	15760	2064	0.014382694367822005	-0.03975359520742386	0.05192232907997721	0.71	0.58	1000	document_cluster
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	HGB protein only	15760	2064	0.05343199720187325	0.009947752457994908	0.08607494986452792	0.992	0.016	1000	document_cluster
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	HGB additive fusion	15760	2064	0.01080681363621155	-0.0414660384722342	0.052069964562571666	0.631	0.738	1000	document_cluster
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	HGB interaction fusion	15760	2064	0.0060818374734781366	-0.04903103949250412	0.048411902267875735	0.568	0.864	1000	document_cluster
ChEMBL37	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	15760	2064	0.045190067939658476	-0.030385289885489792	0.1102140388086684	0.885	0.23	1000	document_cluster
