source	stratum	model_a	model_b	n	prediction_spearman	absolute_error_spearman	mean_absolute_prediction_difference
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	phase15_esm2_aft_frozen	704	0.5567808535124136	0.7651252163290239	0.5361351844213208
ChEMBL37	overall	hgb_molecule	hgb_protein	25436	-0.007655879873031223	0.43327724501836873	0.8265680895857851
ChEMBL37	overall	hgb_molecule	hgb_fusion_additive	25436	0.3368087425893862	0.5919132612476287	0.6243238423273264
ChEMBL37	overall	hgb_molecule	hgb_fusion_interaction	25436	0.32274403362271215	0.6054132854181848	0.6127376303309487
ChEMBL37	overall	hgb_molecule	phase15_esm2_aft_frozen	25436	0.23210097836650706	0.44182243544275046	0.8017086546445519
ChEMBL37	overall	hgb_protein	hgb_fusion_additive	25436	0.5858547609382567	0.7381456490150351	0.4866022341016177
ChEMBL37	overall	hgb_protein	hgb_fusion_interaction	25436	0.5833387606909997	0.7456625860002307	0.4804981451322152
ChEMBL37	overall	hgb_protein	phase15_esm2_aft_frozen	25436	0.4600399653253693	0.6195698547898687	0.6153104055648289
ChEMBL37	overall	hgb_fusion_additive	hgb_fusion_interaction	25436	0.8678154125436327	0.9180928449841376	0.23923968079651275
ChEMBL37	overall	hgb_fusion_additive	phase15_esm2_aft_frozen	25436	0.521770320499784	0.6434696237078712	0.5691753363256962
ChEMBL37	overall	hgb_fusion_interaction	phase15_esm2_aft_frozen	25436	0.5162831013014018	0.6453553345016769	0.5720276730687929
ChEMBL37	drug_cold	hgb_molecule	hgb_protein	7378	0.06740187393349271	0.33102083641357705	1.0269815177354507
ChEMBL37	drug_cold	hgb_molecule	hgb_fusion_additive	7378	0.33155032602939893	0.5384661082995392	0.6959041081855722
ChEMBL37	drug_cold	hgb_molecule	hgb_fusion_interaction	7378	0.32101643115731066	0.5631406617065134	0.675949139681006
ChEMBL37	drug_cold	hgb_molecule	phase15_esm2_aft_frozen	7378	0.27233502610351074	0.37585407269767646	0.9171654223577124
ChEMBL37	drug_cold	hgb_protein	hgb_fusion_additive	7378	0.7076081447380268	0.6882853053608717	0.5856930045274389
ChEMBL37	drug_cold	hgb_protein	hgb_fusion_interaction	7378	0.6826362242602748	0.6740044365741924	0.6077404211770729
ChEMBL37	drug_cold	hgb_protein	phase15_esm2_aft_frozen	7378	0.7236533237724923	0.7007352345179716	0.5638723902649478
ChEMBL37	drug_cold	hgb_fusion_additive	hgb_fusion_interaction	7378	0.9112099818693435	0.9239009832082447	0.22580030848699523
ChEMBL37	drug_cold	hgb_fusion_additive	phase15_esm2_aft_frozen	7378	0.7131229436304958	0.6843338265498974	0.5470910352905078
ChEMBL37	drug_cold	hgb_fusion_interaction	phase15_esm2_aft_frozen	7378	0.6922348338885792	0.6727959456135211	0.5657258265965498
ChEMBL37	protein_identity_cold	hgb_molecule	hgb_protein	1802	-0.012542266043235316	0.3032052859406199	0.9463717478418259
ChEMBL37	protein_identity_cold	hgb_molecule	hgb_fusion_additive	1802	0.5822968972864202	0.5568675562695774	0.6589394858596485
ChEMBL37	protein_identity_cold	hgb_molecule	hgb_fusion_interaction	1802	0.6149042061926396	0.5612785058832198	0.6518575910900855
ChEMBL37	protein_identity_cold	hgb_molecule	phase15_esm2_aft_frozen	1802	0.5021739709160645	0.44558606123479017	0.8281210708359418
ChEMBL37	protein_identity_cold	hgb_protein	hgb_fusion_additive	1802	0.3916213951758786	0.6817804475681053	0.5318145666124878
ChEMBL37	protein_identity_cold	hgb_protein	hgb_fusion_interaction	1802	0.3727952371968171	0.6959664249591044	0.5187717697024413
ChEMBL37	protein_identity_cold	hgb_protein	phase15_esm2_aft_frozen	1802	0.28522008505936614	0.5322200851944457	0.7086916053352743
ChEMBL37	protein_identity_cold	hgb_fusion_additive	hgb_fusion_interaction	1802	0.8697461540181782	0.9107788939326434	0.2500911678694638
ChEMBL37	protein_identity_cold	hgb_fusion_additive	phase15_esm2_aft_frozen	1802	0.5553103080667405	0.628195405568851	0.5955232334499626
ChEMBL37	protein_identity_cold	hgb_fusion_interaction	phase15_esm2_aft_frozen	1802	0.559851300824017	0.650180524541742	0.5786248546471631
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	hgb_protein	15760	-0.05648253527907623	0.5067950639817406	0.7153683099352235
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	hgb_fusion_additive	15760	0.30399355695654123	0.6282837597482117	0.5848681186057051
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	hgb_fusion_interaction	15760	0.2796109567218879	0.6374917516800431	0.5762803874820821
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	phase15_esm2_aft_frozen	15760	0.16476893290636932	0.47305273901368117	0.7490846191960147
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	hgb_fusion_additive	15760	0.5193557344426143	0.7704582427621854	0.435808286136806
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	hgb_fusion_interaction	15760	0.5339440252452382	0.7893409299354751	0.4168574408574817
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	phase15_esm2_aft_frozen	15760	0.2948550764845208	0.5917580748775783	0.6273412366204927
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	hgb_fusion_interaction	15760	0.8388593665381577	0.915409463049234	0.24533973105261941
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	phase15_esm2_aft_frozen	15760	0.39777536793391116	0.6258585428772052	0.5771750328098216
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	phase15_esm2_aft_frozen	15760	0.39647424902982054	0.6307931246165867	0.5755625971471116
